id_usuario,rol_mensaje,mensaje,nivel_riesgo,creado_en
341,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-05-25 04:00:00
341,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-25 04:06:00
341,user,¿Hay recursos de apoyo disponibles?,Medio,2026-05-25 04:14:00
341,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-05-25 04:03:00
19,user,Me siento motivado pero cansado.,Medio,2026-02-24 19:00:00
19,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-02-24 19:04:00
399,user,Estoy preocupado por mis calificaciones.,Alto,2026-03-16 17:00:00
399,assistant,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,Alto,2026-03-16 17:01:00
399,user,¿Hay recursos de apoyo disponibles?,Alto,2026-03-16 17:10:00
62,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-02-02 23:00:00
62,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-02 23:08:00
197,user,La carga académica es muy pesada.,Medio,2026-06-28 01:00:00
197,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-06-28 01:05:00
197,user,Me siento bien hoy.,Medio,2026-06-28 01:08:00
383,user,¿Hay recursos de apoyo disponibles?,Medio,2026-05-31 04:00:00
383,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-31 04:02:00
108,user,¿Hay recursos de apoyo disponibles?,Medio,2026-02-19 16:00:00
108,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-02-19 16:03:00
108,user,Tengo problemas para concentrarme.,Medio,2026-02-19 16:16:00
108,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-19 16:12:00
108,user,¿Hay recursos de apoyo disponibles?,Medio,2026-02-19 16:32:00
260,user,Me siento motivado pero cansado.,Medio,2026-06-23 00:00:00
