id_usuario,codigo_plantilla,tipo_alerta,nivel_riesgo,descripcion,accion_sugerida,requiere_derivacion,estado,metadata_json,creado_en
19,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 62.5, ""indice_riesgo"": 0.467}",2026-02-24 19:00:00
399,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 52.0, ""indice_riesgo"": 0.551}",2026-03-16 17:00:00
483,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 63.5, ""indice_riesgo"": 0.446}",2026-03-24 02:00:00
386,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 57.5, ""indice_riesgo"": 0.505}",2026-06-02 01:00:00
361,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 65.5, ""indice_riesgo"": 0.433}",2026-05-11 17:00:00
170,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.562}",2026-07-08 22:00:00
279,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 49.5, ""indice_riesgo"": 0.576}",2026-05-31 04:00:00
231,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 54.0, ""indice_riesgo"": 0.541}",2026-04-29 21:00:00
411,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 46.5, ""indice_riesgo"": 0.595}",2026-04-05 17:00:00
298,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 52.0, ""indice_riesgo"": 0.552}",2026-03-06 18:00:00
349,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 48.5, ""indice_riesgo"": 0.587}",2026-04-22 21:00:00
