id_alumno,id_periodo,nivel_riesgo,puntaje_riesgo,descripcion,recomendacion,atendida,modelo_version,factores_json,explicacion,estado_seguimiento,responsable_id,revisado_en
5,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=91.19, Reprobadas=0""}]","Promedio=91.19, Reprobadas=0, Tendencia=Estable",Pendiente,,
7,1,Bajo,13.69,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 13.69, ""detalle"": ""Promedio=76.09, Reprobadas=1""}]","Promedio=76.09, Reprobadas=1, Tendencia=Mejora",Pendiente,,
10,1,Alto,61.5,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 61.5, ""detalle"": ""Promedio=72.97, Reprobadas=4""}]","Promedio=72.97, Reprobadas=4, Tendencia=Mejora",Pendiente,,
13,1,Bajo,20.16,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 20.16, ""detalle"": ""Promedio=77.76, Reprobadas=2""}]","Promedio=77.76, Reprobadas=2, Tendencia=Mejora",Pendiente,,
14,1,Alto,74.7,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 74.7, ""detalle"": ""Promedio=62.28, Reprobadas=5""}]","Promedio=62.28, Reprobadas=5, Tendencia=Estable",Pendiente,,
15,1,Bajo,22.8,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 22.8, ""detalle"": ""Promedio=78.56, Reprobadas=1""}]","Promedio=78.56, Reprobadas=1, Tendencia=Declive",Pendiente,,
19,1,Medio,41.16,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 41.16, ""detalle"": ""Promedio=64.63, Reprobadas=3""}]","Promedio=64.63, Reprobadas=3, Tendencia=Mejora",Pendiente,,
23,1,Medio,46.72,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 46.72, ""detalle"": ""Promedio=70.19, Reprobadas=4""}]","Promedio=70.19, Reprobadas=4, Tendencia=Mejora",Pendiente,,
24,1,Bajo,15.61,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 15.61, ""detalle"": ""Promedio=77.49, Reprobadas=0""}]","Promedio=77.49, Reprobadas=0, Tendencia=Declive",Pendiente,,
26,1,Bajo,24.7,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 24.7, ""detalle"": ""Promedio=71.88, Reprobadas=2""}]","Promedio=71.88, Reprobadas=2, Tendencia=Mejora",Pendiente,,
